idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
106,3.774486062202515,1500,11.687000274658203,3.772303819656372,3.772303819656372,1500,0.3199999928474426,0.0,-0.28299999237060547,-0.239257350564003,-0.07177720218896866,8.192172050476074,0.015187080949544907,0.005861680023372173,-0.0018650800921022892
107,3.774486062202515,1500,11.708000183105469,3.7725777626037598,3.7725777626037598,1500,0.33799999952316284,0.0,0.05400000140070915,0.17705044150352478,-0.7919418215751648,9.503301620483398,-0.04049888253211975,0.0018650800921022892,-0.008259640075266361
108,3.774486062202515,1500,11.708000183105469,3.7725777626037598,3.7725777626037598,1500,0.31700000166893005,0.0,-0.2919999957084656,0.3517082929611206,0.4761221408843994,10.087089538574219,0.0213152002543211,0.037301599979400635,-0.009325399994850159
109,3.774486062202515,1500,11.697000503540039,3.772282600402832,3.772282600402832,1500,0.3409999907016754,0.0,0.00800000037997961,0.29907169938087463,0.055029191076755524,10.840750694274902,0.031439922749996185,-0.0463605597615242,-0.024512480944395065
110,3.774486062202515,1500,11.697000503540039,3.772282600402832,3.772282600402832,1500,0.3140000104904175,0.0,-0.25600001215934753,0.9474591016769409,-0.016748014837503433,8.637189865112305,-0.1510714888572693,-0.17291957139968872,0.0021315200719982386
111,3.774486062202515,1500,11.706000328063965,3.773559331893921,3.773559331893921,1500,0.34200000762939453,0.0,0.0020000000949949026,0.966599702835083,-1.1603981256484985,10.405302047729492,0.06474491953849792,-0.11483564227819443,-0.05062360316514969
112,3.774486062202515,1500,11.706000328063965,3.773559331893921,3.773559331893921,1500,0.3140000104904175,0.0,-0.3160000145435333,-0.3277825713157654,0.6124988198280334,9.075031280517578,-0.004795920103788376,0.11403632164001465,-0.03357144072651863
113,3.774486062202515,1500,11.699000358581543,3.7729275226593018,3.7729275226593018,1500,0.33500000834465027,0.0,0.013000000268220901,0.1196286752820015,1.1556129455566406,10.929275512695312,0.03090704046189785,-0.01332200039178133,-0.053820881992578506
114,3.774486062202515,1500,11.699000358581543,3.7729275226593018,3.7729275226593018,1500,0.3100000023841858,0.0,-0.28700000047683716,0.13398411870002747,0.9307110905647278,8.560627937316895,0.015719961374998093,0.017585041001439095,-0.027176881209015846
115,3.774486062202515,1500,11.711000442504883,3.7735445499420166,3.7735445499420166,1500,0.3370000123977661,0.0,-0.02800000086426735,0.3206048607826233,0.4761221408843994,9.409991264343262,-0.030374161899089813,-0.0002664400089997798,-0.02051588147878647
116,3.774486062202515,1500,11.711000442504883,3.7735445499420166,3.7735445499420166,1500,0.3140000104904175,0.0,-0.3199999928474426,0.4067375063896179,-0.8565413355827332,9.304718017578125,-0.049291402101516724,-0.005328800063580275,-0.03277212008833885
117,3.774486062202515,1500,11.706000328063965,3.773559331893921,3.773559331893921,1500,0.34700000286102295,0.0,0.024000000208616257,0.4019523561000824,-0.5144032835960388,10.558426856994629,0.017585041001439095,-0.10284584015607834,-0.0031972802244126797
118,3.774486062202515,1500,11.706000328063965,3.773559331893921,3.773559331893921,1500,0.3160000145435333,0.0,-0.2720000147819519,0.3708488941192627,0.8780744671821594,10.292851448059082,0.04955784231424332,-0.0031972802244126797,0.0
119,3.774486062202515,1500,11.711000442504883,3.7735445499420166,3.7735445499420166,1500,0.34700000286102295,0.0,-0.009999999776482582,0.1698727160692215,-2.500239372253418,11.687721252441406,-0.11723360419273376,-0.04023244231939316,-0.058083921670913696
120,3.774486062202515,1500,11.711000442504883,3.7735445499420166,3.7735445499420166,1500,0.31299999356269836,0.0,-0.25200000405311584,-0.6316394209861755,2.6270456314086914,9.424346923828125,0.15746603906154633,0.2126191258430481,0.0010657600359991193
